S,Input_d,d_ref,vel_ref,Input_vel,vel_md,vel_mi,curva,fuzzyOut,VELpwm_out,Input_theta,direccion,thethaPWM_out,E
S,10.70,9.30,9.60,9.97,9.97,9.97,0.00,0.99,438.94,-0.01,1.00,-2.47,E
S,10.80,9.30,10.04,9.97,12.47,7.48,10.00,0.99,702.19,0.03,1.00,-11.23,E
S,10.80,9.30,10.10,6.23,7.48,4.99,5.00,0.99,902.42,0.52,1.00,-50.79,E
S,10.50,9.30,8.97,9.97,9.97,9.97,0.00,0.99,-958.53,0.69,0.00,-91.43,E
S,10.50,9.30,9.06,9.97,9.97,9.97,0.00,0.99,180.42,0.29,1.00,-67.19,E
S,10.40,9.30,8.71,9.97,9.97,9.97,0.00,0.99,126.71,0.23,1.00,-30.66,E
S,10.40,9.30,8.75,8.73,7.48,9.97,5.00,0.99,509.20,0.11,1.00,-13.47,E
S,10.50,9.30,9.20,7.48,7.48,7.48,0.00,0.99,571.16,0.14,1.00,-42.23,E
S,10.50,9.30,9.24,7.48,4.99,9.97,10.00,0.99,388.73,0.03,1.00,-11.14,E
S,10.50,9.30,9.29,9.97,9.97,9.97,0.00,0.99,210.82,-0.25,1.00,23.09,E
S,10.50,9.30,9.34,8.73,9.97,7.48,5.00,0.99,215.87,-0.39,1.00,76.52,E
S,10.50,9.30,9.39,8.73,9.97,7.48,5.00,0.99,786.06,-0.27,1.00,11.69,E
S,10.40,9.30,9.03,11.22,12.47,9.97,5.00,0.99,175.57,-0.15,1.00,17.85,E
S,10.40,9.30,9.07,8.73,7.48,9.97,5.00,0.99,181.10,0.20,1.00,-24.85,E
S,10.40,9.30,9.12,9.97,9.97,9.97,0.00,0.99,375.12,0.09,1.00,-21.56,E
S,10.30,9.30,8.77,7.48,7.48,7.48,0.00,0.99,130.09,-0.02,1.00,-6.10,E
S,10.30,9.30,8.80,8.73,7.48,9.97,5.00,0.99,511.56,-0.10,1.00,0.23,E
S,10.40,9.30,9.24,8.73,7.48,9.97,5.00,0.99,202.39,-0.07,1.00,21.62,E
S,10.40,9.30,9.29,9.97,9.97,9.97,0.00,0.99,206.49,0.01,1.00,-23.64,E
S,10.40,9.30,0.10,8.73,7.48,9.97,5.00,0.99,0.00,-0.01,1.00,0.00,E
S,10.40,9.30,0.10,6.23,7.48,4.99,5.00,0.99,0.00,-0.01,1.00,0.00,E
S,10.40,9.30,0.10,3.74,2.49,4.99,5.00,0.99,0.00,-0.01,1.00,0.00,E
S,10.60,9.30,5.27,4.99,4.99,4.99,0.00,0.99,239.17,-0.25,1.00,19.53,E
S,10.60,9.30,5.34,6.23,7.48,4.99,5.00,0.99,68.62,-0.01,1.00,1.62,E
S,10.60,9.30,5.58,3.74,2.49,4.99,5.00,0.92,491.08,0.06,1.00,-2.31,E
S,11.30,9.30,8.23,7.48,7.48,7.48,0.00,0.99,343.90,-0.33,1.00,42.86,E
S,11.30,9.30,8.30,7.48,7.48,7.48,0.00,0.96,364.54,-0.08,1.00,8.51,E
S,11.10,9.30,7.59,7.48,7.48,7.48,0.00,0.99,459.21,0.28,1.00,-22.95,E
S,11.10,9.30,7.66,6.23,4.99,7.48,5.00,0.99,480.67,0.23,1.00,-10.07,E
S,11.10,9.30,7.73,8.73,9.97,7.48,5.00,0.99,127.79,-0.02,1.00,8.17,E
S,11.50,9.30,9.41,11.22,12.47,9.97,5.00,0.99,188.37,0.15,1.00,-15.21,E
S,11.50,9.30,9.50,9.97,9.97,9.97,0.00,0.99,644.69,0.09,1.00,24.73,E
S,11.70,9.30,10.11,13.71,14.96,12.47,5.00,0.88,2.44,0.06,1.00,-9.17,E
S,11.70,9.30,10.19,8.73,7.48,9.97,5.00,0.88,405.25,0.02,1.00,-1.99,E
S,11.70,9.30,10.58,8.73,9.97,7.48,5.00,0.99,958.92,-0.04,1.00,33.16,E
S,11.60,9.30,10.27,8.73,9.97,7.48,5.00,0.99,590.28,0.09,1.00,-14.89,E
S,11.60,9.30,10.11,9.97,9.97,9.97,0.00,0.89,390.22,0.16,1.00,-40.50,E
S,11.60,9.30,10.19,8.73,7.48,9.97,5.00,0.89,989.87,0.18,1.00,-17.42,E
S,11.60,9.30,10.54,11.22,9.97,12.47,5.00,0.99,481.69,0.00,1.00,5.89,E
S,11.50,9.30,10.23,12.47,12.47,12.47,0.00,0.99,-122.95,0.19,0.00,-137.69,E
S,11.50,9.30,10.09,9.97,12.47,7.48,10.00,0.90,424.69,0.18,1.00,-32.25,E
S,11.50,9.30,10.15,4.99,4.99,4.99,0.00,0.89,1013.33,0.50,1.00,-63.48,E
S,11.60,9.30,10.58,11.22,9.97,12.47,5.00,0.89,151.06,0.23,1.00,-27.23,E
S,11.60,9.30,10.99,9.97,9.97,9.97,0.00,0.99,407.60,0.09,1.00,-38.79,E
S,11.50,9.30,10.42,7.48,6.65,8.31,5.00,0.90,704.13,0.03,1.00,-23.50,E
S,11.50,9.30,10.50,16.21,17.45,14.96,5.00,0.90,-591.67,-0.10,1.00,-21.32,E
S,11.50,9.30,10.74,11.22,7.48,14.96,15.00,0.95,196.75,0.40,1.00,-40.94,E
S,11.20,9.30,9.74,9.97,9.97,9.97,0.00,0.99,743.33,-0.91,1.00,89.67,E
S,11.20,9.30,9.81,9.97,12.47,7.48,10.00,0.99,-116.33,0.69,0.00,-62.48,E
S,11.40,9.30,10.54,12.47,14.96,9.97,10.00,0.94,-183.51,0.25,0.00,-35.71,E
S,11.40,9.30,10.77,12.47,12.47,12.47,0.00,0.99,422.54,0.63,1.00,-71.81,E
S,11.40,9.30,10.61,3.74,2.49,4.99,5.00,0.91,599.01,-0.05,1.00,23.52,E
S,11.40,9.30,10.94,9.97,9.97,9.97,0.00,0.99,451.58,0.12,1.00,-36.74,E
S,11.40,9.30,11.02,9.97,9.97,9.97,0.00,0.99,657.91,-0.17,1.00,5.71,E
S,11.30,9.30,10.71,9.97,9.97,9.97,0.00,0.99,49.61,0.27,1.00,-71.89,E
S,11.30,9.30,10.57,7.48,6.65,8.31,5.00,0.92,-150.63,0.57,0.00,-289.66,E
S,11.30,9.30,10.87,9.97,9.97,9.97,0.00,0.99,91.71,0.38,1.00,-76.22,E
S,11.30,9.30,10.94,12.47,12.47,12.47,0.00,0.99,70.11,0.16,1.00,-108.58,E
S,11.40,9.30,11.13,12.47,12.47,12.47,0.00,0.91,1023.00,-0.13,1.00,-16.18,E
S,11.40,9.30,11.30,12.47,14.96,9.97,10.00,0.93,385.37,0.04,1.00,-28.47,E
S,11.40,9.30,11.59,8.31,8.31,8.31,0.00,0.99,356.64,-0.01,1.00,-30.97,E
S,11.40,9.30,11.76,14.96,14.96,14.96,0.00,0.99,-138.66,0.63,0.00,-535.39,E
S,11.40,9.30,11.84,12.47,12.47,12.47,0.00,0.99,1023.00,-0.18,1.00,2.77,E
S,11.40,9.30,11.93,14.96,14.96,14.96,0.00,0.99,274.46,0.25,1.00,-79.69,E
S,11.40,9.30,11.77,14.96,12.47,17.45,10.00,0.93,627.89,-0.32,1.00,-6.79,E
S,11.60,9.30,12.33,7.48,9.97,4.99,10.00,0.88,847.91,-0.09,1.00,-57.44,E
S,11.60,9.30,12.45,13.71,12.47,14.96,5.00,0.89,1023.00,0.86,1.00,-118.46,E
S,11.70,9.30,12.84,9.97,9.97,9.97,0.00,0.88,-126.24,0.44,0.00,-82.82,E
S,11.70,9.30,12.92,13.71,14.96,12.47,5.00,0.88,1023.00,0.47,1.00,-119.42,E
S,11.70,9.30,12.78,13.71,9.97,17.45,15.00,0.84,59.78,0.55,1.00,-102.63,E
S,12.50,9.30,15.57,17.45,19.95,14.96,10.00,0.84,1023.00,-0.65,1.00,34.58,E
S,12.50,9.30,15.68,18.70,19.95,17.45,5.00,0.84,1023.00,0.32,1.00,-59.33,E
S,14.80,9.30,26.44,21.19,22.44,19.95,5.00,0.99,1023.00,0.67,1.00,-123.63,E
S,14.80,9.30,23.53,14.13,13.30,16.62,5.00,0.83,-7.41,0.09,0.00,-72.66,E
S,14.80,9.30,26.88,24.93,24.93,24.93,0.00,0.99,1023.00,1.07,1.00,-143.35,E
S,18.20,9.30,33.66,17.45,16.62,18.28,5.00,0.80,1023.00,0.06,1.00,-80.40,E
S,18.20,9.30,23.26,31.17,34.91,27.43,15.00,0.48,-535.83,0.63,0.00,-1023.00,E
S,40.00,9.30,10.00,11.22,14.96,7.48,15.00,0.06,281.24,-1.92,1.00,131.38,E
S,40.00,9.30,10.05,12.47,17.45,7.48,20.00,0.06,238.40,-1.74,1.00,109.15,E
S,40.00,9.30,10.00,11.22,14.96,7.48,15.00,0.06,224.82,-1.40,1.00,114.93,E
S,40.00,9.30,10.05,12.47,17.45,7.48,20.00,0.06,399.80,-1.75,1.00,161.96,E
S,40.00,9.30,10.23,11.22,14.96,7.48,15.00,0.07,407.30,-1.12,1.00,121.05,E
S,40.00,9.30,10.00,11.22,14.96,7.48,15.00,0.06,360.68,-1.36,1.00,164.59,E
S,40.00,9.30,10.05,9.97,14.96,4.99,20.00,0.06,377.88,-0.92,1.00,128.13,E
S,40.00,9.30,10.00,11.22,14.96,7.48,15.00,0.06,336.35,-0.66,1.00,135.42,E
S,40.00,9.30,10.00,11.22,14.96,7.48,15.00,0.06,325.22,-0.65,1.00,127.46,E
S,40.00,9.30,10.00,6.23,9.97,2.49,15.00,0.06,687.65,-0.54,1.00,128.94,E
S,40.00,9.30,10.21,11.22,17.45,4.99,25.00,0.07,133.30,-0.44,1.00,107.45,E
