S,Input_d,d_ref,vel_ref,Input_vel,vel_md,vel_mi,curva,fuzzyOut,VELpwm_out,Input_theta,direccion,thethaPWM_out,E
S,10.50,9.30,4.88,2.49,4.99,0.00,10.00,0.99,376.89,-5.62,1.00,572.82,E
S,10.50,9.30,5.24,6.23,12.47,0.00,25.00,0.89,-409.23,-5.94,0.00,526.33,E
S,10.50,9.30,5.08,1.25,0.00,2.49,5.00,0.96,610.59,-3.09,1.00,472.98,E
S,11.00,9.30,7.02,4.99,4.99,4.99,0.00,0.99,356.95,-2.97,1.00,496.32,E
S,11.20,9.30,7.96,4.99,2.49,7.48,10.00,0.95,528.73,0.01,1.00,-1023.00,E
S,11.20,9.30,8.03,6.23,2.49,9.97,15.00,0.95,-8.56,-6.29,0.00,955.20,E
S,11.50,9.30,9.29,4.99,7.48,2.49,10.00,0.92,392.21,0.98,1.00,253.96,E
S,11.50,9.30,9.36,8.73,7.48,9.97,5.00,0.92,-148.11,-5.25,0.00,774.64,E
S,11.30,9.30,8.72,2.49,0.00,4.99,10.00,0.94,704.29,0.87,1.00,61.17,E
S,11.30,9.30,8.77,11.22,9.97,12.47,5.00,0.92,-759.35,-3.93,0.00,819.30,E
S,11.30,9.30,8.87,9.97,14.96,4.99,20.00,0.94,948.10,-0.37,1.00,444.60,E
S,11.30,9.30,8.89,9.97,17.45,2.49,30.00,0.89,398.49,1.95,1.00,170.68,E
S,11.30,9.30,9.01,4.99,7.48,2.49,10.00,0.93,232.48,2.95,1.00,105.86,E
S,11.40,9.30,9.42,11.22,12.47,9.97,5.00,0.91,503.59,3.66,1.00,-3.50,E
S,11.40,9.30,9.54,13.71,9.97,17.45,15.00,0.93,-227.83,-3.06,0.00,607.21,E
S,11.20,9.30,8.88,5.82,4.99,6.65,5.00,0.95,236.62,2.55,1.00,94.79,E
S,11.20,9.30,8.93,12.47,9.97,14.96,10.00,0.93,627.44,2.31,1.00,91.99,E
S,11.20,9.30,8.95,11.22,4.99,17.45,25.00,0.88,-109.82,-1.67,0.00,444.00,E
S,11.40,9.30,9.78,11.22,9.97,12.47,5.00,0.91,828.11,0.62,1.00,110.23,E
S,11.40,9.30,9.83,9.14,9.97,8.31,5.00,0.90,30.21,1.21,1.00,146.22,E
S,11.50,9.30,10.35,11.22,7.48,14.96,15.00,0.93,1023.00,1.79,1.00,70.92,E
S,11.10,9.30,8.94,16.21,22.44,9.97,25.00,0.79,133.88,0.37,1.00,213.72,E
S,11.10,9.30,9.25,12.47,12.47,12.47,0.00,0.99,-224.63,-0.96,0.00,1023.00,E
S,11.20,9.30,9.61,13.71,14.96,12.47,5.00,0.93,19.50,0.41,1.00,261.85,E
S,11.20,9.30,9.74,13.71,17.45,9.97,15.00,0.96,-525.46,-0.40,0.00,292.30,E
S,11.10,9.30,9.39,13.71,14.96,12.47,5.00,0.94,445.80,1.95,1.00,28.01,E
S,11.10,9.30,9.46,11.22,12.47,9.97,5.00,0.94,7.81,1.53,1.00,49.78,E
S,11.10,9.30,9.55,11.22,7.48,17.45,15.00,0.95,11.80,1.59,1.00,25.29,E
S,11.20,9.30,9.99,8.73,4.99,12.47,15.00,0.95,1023.00,0.42,1.00,191.67,E
S,11.20,9.30,10.16,9.97,12.47,7.48,10.00,0.99,-52.54,0.69,0.00,107.60,E
S,10.80,9.30,8.63,7.48,9.97,4.99,10.00,0.99,468.11,1.01,1.00,41.48,E
S,10.80,9.30,8.69,8.73,9.97,9.97,5.00,0.99,289.95,1.05,1.00,48.96,E
S,10.80,9.30,8.73,11.22,9.97,12.47,5.00,0.97,112.51,1.46,1.00,-9.60,E
S,10.90,9.30,9.18,8.73,9.97,9.97,5.00,0.97,367.32,1.42,1.00,-45.02,E
S,10.90,9.30,9.24,14.96,12.47,17.45,10.00,0.97,450.75,0.71,1.00,50.87,E
S,11.00,9.30,9.67,13.71,14.96,12.47,5.00,0.96,79.29,0.52,1.00,-5.79,E
S,11.00,9.30,9.81,12.47,12.47,12.47,0.00,0.99,1022.39,1.15,1.00,-35.74,E
S,11.00,9.30,9.87,7.48,7.48,7.48,0.00,0.99,291.99,0.67,1.00,-24.77,E
S,11.00,9.30,9.94,4.99,4.99,4.99,0.00,0.99,303.25,0.82,1.00,-44.12,E
S,11.00,9.30,9.97,6.23,4.99,7.48,5.00,0.97,502.74,0.64,1.00,-110.98,E
S,10.90,9.30,9.64,8.73,7.48,9.97,5.00,0.97,-115.32,1.18,0.00,-75.09,E
S,10.90,9.30,9.73,9.97,9.97,9.97,0.00,0.99,463.24,0.70,1.00,-59.51,E
S,10.80,9.30,9.39,9.97,9.97,9.97,0.00,0.99,225.50,0.25,1.00,10.62,E
S,10.80,9.30,9.45,8.73,9.97,7.48,5.00,0.99,233.00,0.05,1.00,-1.01,E
S,10.70,9.30,9.12,9.97,9.97,9.97,0.00,0.99,368.77,0.09,1.00,-17.92,E
S,10.70,9.30,9.22,8.73,7.48,9.97,5.00,0.99,199.90,0.09,1.00,27.49,E
S,10.70,9.30,9.29,9.97,9.97,9.97,0.00,0.99,396.25,0.03,1.00,6.68,E
S,10.70,9.30,9.34,9.97,9.97,9.97,0.00,0.99,215.81,-0.03,1.00,15.86,E
S,10.50,9.30,8.59,7.48,9.97,7.48,5.00,0.99,477.60,0.14,1.00,-15.81,E
S,10.50,9.30,8.64,9.97,9.97,9.97,0.00,0.99,109.38,0.18,1.00,-3.31,E
S,10.50,9.30,8.69,9.97,9.97,9.97,0.00,0.99,115.62,0.01,1.00,6.86,E
S,10.70,9.30,9.54,9.97,9.97,9.97,0.00,0.99,244.40,0.02,1.00,13.38,E
