;;;;;;;0
3;0;0,42;0;16,46;10;819;747
3;0;0,48;0;32,91;10;819;750
3;0;0,42;0;16,46;10;819;753
4;0;0,4;0;32,41;10;819;757
3;0;0,44;0;15,96;10;819;760
3;0;0,44;0;32,41;10;819;763
3;0;0,38;0;16,46;10;105,1;766
4;0;0,43;0;33,41;10;105,1;770
3;0;0,39;0;15,46;10;105,1;773
3;0;0,4;0;32,41;10;105,1;776
3;0;0,42;0;16,95;10;105,1;779
3;0;0,42;0;32,41;10;105,1;782
4;0;0,4;0;16,46;10;105,1;786
3;0;0,4;0;32,41;10;105,1;789
3;0;0,31;0;16,46;10;105,1;792
3;0;0,31;0;32,91;10;105,1;795
3;0;0,4;0;16,46;10;105,1;798
4;0;0,31;0;32,91;10;105,1;802
3;0;0,27;0;16,46;10;105,1;805
3;0;0,26;0;32,91;10;105,1;808
3;0;0,26;0;16,46;10;105,1;811
3;0;0,35;0;33,41;10;105,1;814
4;0;0,27;0;16,46;10;105,1;818
3;0;0,26;0;32,41;10;105,1;821
3;0;0,29;0;16,95;10;105,1;824
3;0;0,23;0;33,41;10;105,1;827
4;0;0,26;0;16,95;10;105,1;831
3;0;0,34;0;33,41;10;105,1;834
3;0;0,32;0;15,96;10;105,1;837
3;0;0,3;0;32,41;10;105,1;840
3;0;0,28;0;16,46;10;105,1;843
4;0;0,29;0;32,91;10;105,1;847
3;0;0,24;0;16,46;10;105,1;850
3;0;0,32;0;32,91;10;105,1;853
3;0;0,32;0;15,96;10;105,1;856
3;0;0,26;0;32,41;10;105,1;859
4;0;0,24;0;16,46;10;84,5;863
3;0;0,24;0;32,41;10;84,5;866
3;0;0,27;0;15,96;10;84,5;869
3;0;0,35;0;31,91;10;84,5;872
3;0;0,3;0;15,96;10;84,5;875
3;0;0,35;0;31,91;10;84,5;878
3;0;0,35;0;15,96;10;84,5;881
3;0;0,37;0;31,91;10;84,5;884
4;0;0,33;0;15,96;10;84,5;888
3;0;0,35;0;31,91;10;84,5;891
3;0;0,44;0;15,46;10;84,5;894
3;0;-0,01;0;31,91;10;84,5;897
3;0;0,4;0;15,96;10;84,5;900
3;0;0,46;0;31,91;10;84,5;903
3;0;0,46;0;14,96;10;84,5;906
4;0;0,42;0;30,92;10;84,5;910
3;0;0,47;0;15,46;10;84,5;913
3;0;0,5;0;30,42;10;84,5;916
3;0;0,43;0;15,96;10;84,5;919
3;0;0,42;0;31,42;10;84,5;922
3;0;0,4;0;15,46;10;84,5;925
3;0;0,51;0;31,91;10;84,5;928
3;0;0,48;0;14,96;10;84,5;931
4;0;0,55;0;30,92;10;84,5;935
3;0;0,5;0;14,96;10;84,5;938
3;0;0,42;0;30,92;10;84,5;941
3;0;0,55;0;15,46;10;84,5;944
3;0;0,49;0;31,42;10;84,5;947
3;0;0,5;0;15,96;10;84,5;950
3;0;0,5;0;30,92;10;84,5;953
3;0;0,5;0;14,96;10;84,5;956
4;0;0,18;0;30,92;10;84,5;960
3;0;0,32;0;15,46;10;64,1;963
3;0;0,42;0;31,42;10;64,1;966
4;0;0,44;0;20,94;10;64,1;970
2;0;0,47;0;31,42;10;64,1;972
3;0;0,38;0;15,46;10;64,1;975
3;0;0,45;0;31,42;10;64,1;978
3;0;0,4;0;15,46;10;64,1;981
4;0;0,35;0;31,42;10;64,1;985
3;0;0,31;0;15,96;10;64,1;988
3;0;0,29;0;31,42;10;64,1;991
3;0;0,22;0;15,96;10;64,1;994
3;0;0,18;0;31,42;10;64,1;997
3;0;0,13;0;15,96;10;64,1;1000
3;0;0,17;0;31,91;10;64,1;1003
3;0;0,08;0;15,46;10;64,1;1006
4;0;0,05;0;31,42;10;64,1;1010
3;0;0,06;0;16,46;10;64,1;1013
