Robot;Delta_muestra;Input_d;d_ref;vel_ref;Input_vel;Input_theta;Output_d;Output_vel;Output_theta;;;;
T;40;12.1;15;8;8.98;0;8;233.02;7.48;0;15;0.01;1
L;40;63.9;8.3;10;10.07;0;0;285.8;75.92;0.05;15;0;1
S;40;3.9;10;9;9.44;-0.01;9;270.75;59.93;0.01;15;0.05;1
S;40;4.3;10;9;9.22;-0.01;9;273.88;60.71;0.01;15;0.05;1
T;40;12.1;15;8;8.54;0;8;238.74;7.02;0;15;0.01;1
L;40;69.3;8.3;10;10.02;0;0;286.81;91.37;0.05;15;0;1
T;40;12.4;15;8;8.24;0;8;243.36;2.14;0;15;0.01;1
L;40;69.2;8.3;10;10.04;0;0;286.2;68.43;0.05;15;0;1
S;40;4.1;10;9;9.15;-0.01;9;274.43;74.37;0.02;15;0.05;1
T;40;12.3;15;8;8.09;0;8;246.02;3.57;0;15;0.01;1
L;40;71.5;8.3;10;9.97;0;0;287.75;76.39;0.05;15;0;1
S;40;4.8;10;9;9.16;-0.02;9;273.42;85.1;0.02;15;0.05;1
T;40;12.6;15;8;8.04;0;8;246.71;4.79;0;15;0.02;1
L;40;72;8.3;10;10.01;0;0;286.97;79.75;0.05;15;0;1
S;40;4.5;10;9;9.08;-0.02;9;274.59;86.05;0.02;15;0.05;1
T;40;12.4;15;8;7.77;0;8;253.51;6.59;0;15;0.02;1
L;40;72.7;8.3;10;9.96;0;0;288.22;84.71;0.05;15;0;1
S;40;4;10;9;9.07;-0.06;9;274.43;235.99;0.02;15;0.05;1
T;40;12.8;15;8;8.27;0;8;241.7;5.8;0;15;0.02;1
L;40;71.2;8.3;10;9.87;0;0;290.68;88.71;0.05;15;0;1
S;40;5.5;10;9;9.02;-0.02;9;275.28;45.3;0.02;15;0.05;1
T;40;12.9;15;8;8.11;0;8;244.43;4;0;15;0.02;1
L;40;71.2;8.3;10;9.9;0;0;290.63;94.31;0.05;15;0;1
S;40;5.4;10;9;9.15;-0.01;9;271.75;77;0.02;15;0.05;1
T;40;12.8;15;8;7.93;0;8;248.41;0.26;0;15;0.02;1
S;40;4.5;10;9;9.16;-0.01;9;270.73;82.69;0.02;15;0.05;1
T;40;12.7;15;8;7.96;0;8;248.08;6.31;0;15;0.02;1
L;40;70.5;8.3;10;10.03;-0.01;0;287.86;115.37;0.05;15;0;1
L;40;69.8;8.3;10;10.02;-0.01;0;287.95;93.94;0.05;15;0;1
S;40;5.2;10;9;9.34;-0.01;9;264.89;85.57;0.02;15;0.05;1
T;40;12.8;15;8;8.21;0;8;241.82;12.89;0;15;0.02;1
L;40;70.7;8.3;10;10.12;0;0;285.15;91.56;0.05;15;0;1
S;40;3.7;10;9;8.87;-0.01;9;275.18;101.56;0.03;15;0.05;1
T;40;12.8;15;8;8.07;0;8;244.24;11.1;0;15;0.03;1
L;40;71.8;8.3;10;10.16;-0.01;0;283.36;114.28;0.05;15;0;1
S;40;6;10;9;9.09;-0.01;9;270.31;98.52;0.03;15;0.05;1
T;40;12.8;15;8;8.11;0;8;242.72;13.12;0;15;0.03;1
L;40;71.1;8.3;10;10.08;-0.01;0;284.56;99.73;0.05;15;0;1
S;40;3.2;10;9;8.89;-0.01;9;274.86;101.52;0.03;15;0.05;1
T;40;13;15;8;8.06;0;8;243.46;13.22;0;15;0.03;1
S;40;6.2;10;9;8.85;-0.01;9;276.7;100.48;0.03;15;0.05;1
L;40;69.9;8.3;10;9.93;0;0;287.99;90.12;0.05;15;0;1
T;40;12.9;15;8;8.08;0;8;242.61;10.97;0;15;0.03;1
L;40;68.6;8.3;10;9.97;0;0;287.37;85.46;0.05;15;0;1
S;40;4.5;10;9;8.81;-0.01;9;278.57;110.83;0.03;15;0.05;1
T;40;13.7;15;8;8.04;-0.01;8;243.2;19.78;0;15;0.03;1
L;40;68.4;8.3;10;10.47;0;0;274.58;87.47;0.05;15;0;1
S;40;3;10;9;8.84;-0.01;9;278.89;98;0.03;15;0.05;1
T;40;13.4;15;8;8.04;-0.01;8;242.99;22.06;0;15;0.03;1
S;40;4.8;10;9;8.85;-0.01;9;279.48;99.78;0.03;15;0.05;1
L;40;67.6;8.3;10;9.9;0;0;286.8;96.36;0.05;15;0;1
T;40;13.5;15;8;7.97;-0.01;8;244.46;22.7;0;15;0.03;1
L;41;67.4;8.3;10;10;0;0;284.61;93.43;0.05;15;0;1
S;40;3.5;10;9;9;-0.01;9;276.55;96.08;0.03;15;0.05;1
T;40;13.5;15;8;7.97;-0.01;8;244.65;20.15;0;15;0.03;1
L;40;67.1;8.3;10;9.94;0;0;286.28;93.5;0.05;15;0;1
S;40;4.6;10;9;9.06;0;9;275.04;86.96;0.03;15;0.05;1
T;40;13.8;15;8;7.96;-0.01;8;245.04;24.16;0;15;0.03;1
L;40;69.2;8.3;10;9.99;0;0;285.31;94.04;0.05;15;0;1
S;40;8.7;10;9;9.13;0;9;272.7;92.04;0.03;15;0.05;1
T;40;13.3;15;8;7.69;0;8;252.46;18.64;0;15;0.03;1
L;40;66.6;8.3;10;10.12;-0.01;0;282.03;107.26;0.05;15;0;1
S;40;10.4;10;9;9.07;0;9;273.56;89.3;0.04;15;0.05;1
T;40;13.6;15;8;7.84;0;8;250.21;13.66;0;15;0.04;1
L;40;66.7;8.3;10;10.07;0.06;0;282.5;-133.77;0.05;15;0;1
S;40;12.8;10;9;8.95;0;9;276.38;84.74;0.04;15;0.05;1
T;40;13.8;15;8;7.98;0;8;247.54;13.5;0;15;0.04;1
L;40;66.2;8.3;10;9.98;-0.02;0;284.6;236.05;0.05;15;0;1
S;40;17.3;10;11;9.33;0;11;319;82.3;0.04;15;0.05;1
T;40;13.8;15;8;8.08;0;8;245.03;5.57;0;15;0.04;1
S;40;21.9;10;11;9.31;0;11;329.12;84.38;0.04;15;0.05;1
L;40;65.4;8.3;10;9.99;-0.08;0;284.41;336.27;0.05;15;0;1
T;40;13.7;15;10;8.04;0;10;297.9;12.75;0;15;0.04;1
L;40;66.5;8.3;10;9.95;-0.03;0;285.53;101.18;0.05;15;0;1
S;40;22.7;10;11;9.83;0;11;325.32;74.49;0.04;15;0.05;1
T;40;14.2;15;10;8.25;0;10;303.74;6.84;0;15;0.04;1
L;40;64.8;8.3;10;10.01;-0.01;0;284.11;83.58;0.05;15;0;1
S;40;25.1;10;11;10.2;0;11;322.49;87.3;0.04;15;0.05;1
T;40;14.2;15;10;8.61;0;10;304.58;10.54;0;15;0.04;1
L;40;65.3;8.3;10;10.13;0;0;281.08;93.94;0.05;15;0;1
S;40;27.9;10;11;10.41;0;11;321.72;82.22;0.04;15;0.05;1
T;40;14.8;15;10;9.08;0;10;300.37;12.49;0.01;15;0.04;1
L;40;66.6;8.3;10;10.19;-0.01;0;278.8;145.7;0.05;15;0;1
S;40;28.8;10;11;10.66;0;11;318.64;78.3;0.04;15;0.05;1
T;40;15.1;15;10;9.39;0;10;297.5;18.84;0.01;15;0.04;1
L;40;64.4;8.3;10;10.06;-0.01;0;281.05;120.28;0.05;15;0;1
S;40;29.2;10;11;10.59;0;11;322.46;79.36;0.03;15;0.05;1
T;40;15.4;15;10;9.59;0;10;295.83;14.17;0.01;15;0.04;1
L;40;65.2;8.3;10;10.06;0;0;280.65;108.09;0.05;15;0;1
S;40;30.4;10;11;10.82;0;11;318.86;82.25;0.03;15;0.05;1
T;40;15.2;15;10;9.73;0;10;294.49;4.7;0.01;15;0.04;1
L;40;66.1;8.3;10;10.05;0;0;280.6;91.88;0.05;15;0;1
S;40;31.6;10;11;10.79;0;11;320.52;78.77;0.03;15;0.05;1
T;40;15.7;15;10;9.91;0;10;291.52;3.12;0.01;15;0.03;1
L;40;63.4;8.3;10;10.09;0;0;279.13;130.31;0.05;15;0;1
S;40;31.8;10;11;10.76;0.07;11;322.49;-157.29;0.03;15;0.05;1
T;40;15.3;15;10;9.89;0.01;10;292.39;-5.43;0.01;15;0.03;1
L;40;65.5;8.3;10;10.2;-0.01;0;275.86;132.66;0.05;15;0;1
S;40;31;10;11;10.75;-0.01;11;324.31;199.39;0.03;15;0.05;1
T;40;16.1;15;10;9.86;0;10;293.78;4.77;0.01;15;0.03;1
L;40;64.3;8.3;10;9.62;-0.01;0;289.7;129.42;0.05;15;0;1
S;40;31.1;10;11;10.76;-0.02;11;325.4;152.47;0.03;15;0.05;1
T;40;16.3;15;10;9.92;0;10;293.19;6.91;0.01;15;0.03;1
L;40;63.5;8.3;10;9.79;-0.01;0;287.51;130.17;0.05;15;0;1
S;40;31.1;10;11;10.8;-0.03;11;325.66;134.58;0.03;15;0.05;1
T;40;16.9;15;10;10.06;0;10;289.86;13.12;0.01;15;0.03;1
L;40;65.9;8.3;10;9.87;0;0;286.8;118.68;0.05;15;0;1
S;40;32.3;10;11;10.97;-0.02;11;322.57;119.46;0.04;15;0.05;1
T;40;18.1;15;10;10.01;0;10;290.96;20.55;0.01;15;0.03;1
L;40;64.3;8.3;10;9.87;-0.01;0;287.52;136.43;0.05;15;0;1
S;40;30.6;10;11;10.99;-0.02;11;322.13;114.83;0.04;15;0.05;1
T;40;17.5;15;10;9.93;0;10;292.92;18.53;0.01;15;0.03;1
L;40;62.2;8.3;10;9.84;-0.01;0;289.14;136.65;0.05;15;0;1
S;40;30.2;10;11;11;-0.01;11;321.9;104.79;0.04;15;0.05;1
T;40;19;15;10;9.91;0;10;293.84;20.39;0.01;15;0.04;1
L;40;64;8.3;10;9.94;-0.01;0;287.3;138.6;0.05;15;0;1
S;40;28;10;11;11.08;-0.01;11;319.79;116.69;0.04;15;0.05;1
T;40;19.5;15;11.04;10.01;0;11.04;318.81;22.19;0.01;15;0.04;1
L;40;62.5;8.3;10;9.98;-0.01;0;286.77;143.74;0.05;15;0;1
S;40;26.1;10;11;11.07;-0.01;11;319.51;109.14;0.04;15;0.05;1
T;40;18.1;15;10;10.51;-0.01;10;284.73;24.63;0.01;15;0.04;1
S;40;23.1;10;11;10.97;-0.01;11;321.79;112.12;0.04;15;0.05;1
L;40;65.9;8.3;10;10.01;-0.01;0;286.11;124.16;0.05;15;0;1
T;40;13.8;15;10;10.36;0;10;285.6;23.41;0.01;15;0.04;1
L;40;53.8;8.3;10;10.08;0;0;284.11;132.42;0.05;15;0;1
S;40;23.8;10;11;11.03;-0.01;11;320.41;106.45;0.04;15;0.05;1
T;40;14.6;15;10;10.23;0;10;286.94;24.63;0.01;15;0.04;1
L;40;62.5;8.3;10;10.03;0;0;285.09;119.42;0.05;15;0;1
S;40;23.8;10;11;11;0;11;321.04;96.86;0.04;15;0.05;1
T;40;14.2;15;10;10.18;0;10;286.97;20.12;0.01;15;0.04;1
L;40;61.2;8.3;10;9.73;0;0;292.58;103.28;0.05;15;0;1
S;40;22.7;10;11;10.87;0;11;324.49;86.45;0.04;15;0.05;1
T;40;15.2;15;10;10.27;0;10;283.41;23.56;0.01;15;0.04;1
L;40;52.1;8.3;10;10.07;0;0;285.21;121.32;0.06;15;0;1
S;40;27.1;10;11;10.84;0;11;326.09;86.77;0.05;15;0.06;1
T;40;13.5;15;10;10.05;0;10;287.78;16.23;0.01;15;0.04;1
L;40;49.3;8.3;10;10.28;0.01;0;279.31;95.8;0.06;15;0;1
S;40;27.2;10;11;10.9;0.01;11;325.42;75.17;0.05;15;0.06;1
T;40;16.2;15;10;10.03;-0.01;10;287.83;34.74;0.01;15;0.05;1
L;40;55.6;8.3;10;9.84;0.01;0;289.37;91.95;0.06;15;0;1
S;40;26.7;10;11;10.91;0.01;11;325.7;86.41;0.05;15;0.06;1
T;40;13.7;15;10;10.03;0;10;287.67;24.01;0.01;15;0.05;1
L;40;44.5;8.3;10;10.27;0.02;0;278.88;75.07;0.06;15;0;1
S;41;28.6;10;11;10.94;0;11;325.53;90.58;0.05;15;0.06;1
T;40;13;15;10;9.95;0;10;289.65;26.8;0.01;15;0.05;1
L;40;45.4;8.3;10;9.77;0.02;0;290.47;84.04;0.06;15;0;1
S;40;28.4;10;11;10.96;0;11;325.38;89.4;0.05;15;0.06;1
T;40;18.5;15;10;9.96;0;10;289.62;30.99;0.01;15;0.05;1
L;40;48.3;8.3;10;9.79;0.02;0;291.27;76.31;0.06;15;0;1
S;40;31.7;10;11;11.03;0;11;323.74;85.25;0.05;15;0.06;1
T;40;17.6;15;10;9.91;0;10;291.11;23.73;0.01;15;0.05;1
L;40;80;8.3;10;10.04;0.02;0;285.89;75.08;0.06;15;0;1
S;40;29.2;10;11;11.06;0;11;322.87;83.92;0.05;15;0.06;1
T;40;80;15;12;10.03;0;12;340.9;32.29;0.01;15;0.05;1
L;40;80;8.3;10;9.88;0.02;0;289.92;68.57;0.06;15;0;1
S;40;30.4;10;11;11.13;0;11;320.65;92.68;0.05;15;0.06;1
T;40;18.6;15;12;10.14;-0.01;12;349.49;36.79;0.01;15;0.05;1
L;40;80;8.3;10;9.91;0.02;0;289.7;72.48;0.06;15;0;1
S;40;31.6;10;11;11.1;0;11;320.54;96.83;0.05;15;0.06;1
T;40;80;15;12;10.48;-0.01;12;351.24;46.61;0.01;15;0.05;1
L;40;80;8.3;10;9.91;0.02;0;290.36;67.9;0.06;15;0;1
S;40;32.1;10;11;11.02;0;11;322.24;102.85;0.05;15;0.06;1
T;40;80;15;12;10.85;-0.01;12;350.48;56.07;0.01;15;0.05;1
L;40;80;8.3;10;10.01;0.01;0;288.23;77.29;0.07;15;0;1
S;40;37.4;10;11;10.94;0;11;324.03;100.54;0.05;15;0.07;1
T;40;80;15;12;11.32;-0.02;12;345.01;70.2;0.01;15;0.05;1
L;40;80;8.3;10;9.95;0.01;0;289.66;82.4;0.07;15;0;1
S;40;35.3;10;11;10.98;-0.01;11;323.35;115.07;0.05;15;0.07;1
T;40;80;15;12;11.66;-0.02;12;339.94;66.98;0.01;15;0.05;1
L;40;80;8.3;10;9.93;0.01;0;290.59;82.89;0.07;15;0;1
S;40;37.3;10;11;11;-0.01;11;322.9;108.49;0.05;15;0.07;1
T;40;80;15;12;11.83;-0.02;12;337.4;82.67;0.01;15;0.05;1
L;40;80;8.3;10;9.96;0;0;290.26;92.25;0.07;15;0;1
S;40;39.5;10;11;10.71;-0.01;11;330.53;103.98;0.05;15;0.07;1
T;40;13.5;15;10;11.85;-0.02;10;285.85;71.31;0.01;15;0.05;1
L;40;80;8.3;10;10.02;0;0;288.83;91.33;0.07;15;0;1
S;40;41.3;10;11;10.92;0;11;326.62;104.57;0.05;15;0.07;1
T;40;80;15;12;11.78;-0.02;12;329.19;103.02;0.02;15;0.05;1
L;40;80;8.3;10;9.99;0;0;289.56;90.6;0.07;15;0;1
S;40;40.7;10;11;11.11;0;11;322.21;109.15;0.05;15;0.07;1
T;40;21.7;15;12;11.36;-0.02;12;341.38;97.43;0.02;15;0.05;1
L;40;80;8.3;10;9.98;0;0;289.9;81.62;0.07;15;0;1
S;40;40.6;10;11;11.05;0;11;323.2;107.93;0.05;15;0.07;1
T;40;17.7;15;12;11.38;-0.02;12;344.61;99.01;0.02;15;0.05;1
L;40;80;8.3;10;10.04;0;0;288.52;103.14;0.07;15;0;1
S;40;41.4;10;11;11.11;0;11;321.31;106.2;0.05;15;0.07;1
T;40;17.6;15;12;11.54;-0.03;12;343.87;112.75;0.02;15;0.05;1
L;40;80;8.3;10;10.06;0;0;287.64;104.54;0.07;15;0;1
S;40;40.6;10;11;11.1;-0.01;11;321.05;119.43;0.05;15;0.07;1
T;40;80;15;12;11.76;-0.03;12;340.82;118.07;0.02;15;0.05;1
L;40;80;8.3;10;9.71;0;0;296.34;90.67;0.06;15;0;1
S;40;42.9;10;11;11.24;-0.01;11;316.76;116.73;0.05;15;0.07;1
T;40;80;15;12;11.74;-0.03;12;342.75;121.74;0.02;15;0.05;1
L;40;80;8.3;10;9.97;0;0;291.26;88.63;0.06;15;0;1
S;40;41;10;11;11.06;-0.01;11;319.93;117.48;0.05;15;0.06;1
T;40;80;15;12;11.78;-0.03;12;343.18;118.67;0.02;15;0.05;1
L;40;56.7;8.3;10;10.63;0;0;274.3;83.4;0.06;15;0;1
S;40;39.6;10;11;11.09;-0.01;11;318.77;121.78;0.05;15;0.06;1
T;40;21.6;15;12;12.18;-0.03;12;334.03;126.34;0.03;15;0.05;1
L;40;80;8.3;10;10.04;0;0;286.02;89.05;0.06;15;0;1
S;40;41;10;11;11.02;-0.01;11;320.25;121.95;0.05;15;0.06;1
T;40;23.3;15;12;12.07;-0.02;12;335.85;121.46;0.03;15;0.05;1
L;40;80;8.3;10;10.01;0.01;0;286.53;72.3;0.06;15;0;1
S;40;41.4;10;11;10.93;-0.01;11;322.53;136.51;0.05;15;0.06;1
T;40;14.9;15;10.59;12.03;-0.02;10.59;299.72;101.93;0.03;15;0.05;1
L;40;69.6;8.3;10;9.83;0.02;0;291.08;42.14;0.06;15;0;1
S;40;41.8;10;11;10.89;-0.01;11;323.79;144.33;0.05;15;0.06;1
T;40;22.2;15;12;11.81;-0.02;12;333.99;136.2;0.03;15;0.05;1
L;40;80;8.3;10;9.99;0.01;0;288.06;79.76;0.05;15;0;1
S;40;37.1;10;11;10.97;-0.01;11;322.43;127.64;0.05;15;0.06;1
T;40;80;15;12;11.4;-0.02;12;345.67;129.72;0.03;15;0.05;1
L;40;80;8.3;10;9.95;0.01;0;288.99;65.38;0.05;15;0;1
S;40;38.8;10;11;10.69;-0.01;11;329.9;127.93;0.05;15;0.06;1
T;40;80;15;12;11.89;-0.01;12;336.52;111.75;0.03;15;0.05;1
L;40;67.3;8.3;10;10.02;0.01;0;287.49;72.3;0.05;15;0;1
S;40;37.1;10;11;11.06;-0.01;11;321.95;155.47;0.05;15;0.05;1
T;40;41.3;15;12;11.99;-0.01;12;334.38;107.25;0.03;15;0.05;1
L;40;80;8.3;10;10.03;0.02;0;287.12;31.03;0.05;15;0;1
S;40;36.6;10;11;10.93;-0.02;11;325.07;161.61;0.05;15;0.05;1
T;40;44.2;15;12;11.74;-0.01;12;340.97;100.85;0.05;15;0.05;1
L;40;80;8.3;10;10.11;0.02;0;284.88;42.15;0.05;15;0;1
S;40;34.7;10;11;11.03;-0.01;11;322.96;147.01;0.05;15;0.05;1
T;40;46.6;15;12;11.71;0;12;343.37;94.41;0.05;15;0.05;1
L;40;80;8.3;10;10.09;0.02;0;284.79;32.63;0.05;15;0;1
S;40;33.6;10;11;10.91;-0.02;11;325.75;158.66;0.05;15;0.05;1
T;40;45.7;15;12;11.88;0;12;340.55;94.42;0.05;15;0.05;1
L;40;80;8.3;10;9.94;0.02;0;288.28;43.38;0.05;15;0;1
S;40;35.7;10;11;10.97;-0.01;11;324.88;141.94;0.05;15;0.05;1
T;40;47.6;15;12;11.95;0;12;339.53;91.62;0.05;15;0.05;1
L;40;80;8.3;10;9.9;0.02;0;289.66;30.29;0.05;15;0;1
S;40;33.2;10;11;10.93;-0.01;11;325.92;152.4;0.05;15;0.05;1
T;40;47.8;15;12;12.09;0;12;336.14;90.6;0.05;15;0.05;1
L;40;80;8.3;10;9.89;0.01;0;290.39;43.53;0.05;15;0;1
S;40;31.1;10;11;10.99;-0.01;11;324.87;142.37;0.05;15;0.05;1
T;40;47.4;15;12;12.07;0;12;336.12;91.13;0.05;15;0.05;1
L;40;80;8.3;10;9.92;0.01;0;290.18;44.47;0.05;15;0;1
S;40;29.7;10;11;11.09;-0.01;11;322.38;137.82;0.05;15;0.05;1
T;40;48.3;15;12;12;0;12;337.6;84.33;0.05;15;0.05;1
L;40;80;8.3;10;9.9;0.01;0;291.33;46.63;0.04;15;0;1
S;40;30.4;10;11;11.18;-0.01;11;319.41;157.77;0.05;15;0.05;1
T;40;47.2;15;12;12.03;0.01;12;336.77;65.08;0.03;15;0.05;1
L;40;80;8.3;10;9.83;0.01;0;293.68;50.13;0.04;15;0;1
S;40;26.1;10;11;11.08;-0.01;11;321.11;157.99;0.05;15;0.05;1
T;40;47.7;15;12;11.95;0.01;12;338.63;87.94;0.03;15;0.05;1
L;40;73.8;8.3;10;9.84;0.01;0;294.51;38.16;0.04;15;0;1
S;40;27.7;10;11;11.06;-0.01;11;321.14;152.4;0.05;15;0.04;1
T;40;47.2;15;12;11.95;0;12;338.83;85.03;0.03;15;0.05;1
L;40;80;8.3;10;9.92;0.01;0;293.3;41.03;0.04;15;0;1
S;40;25.2;10;11;11.06;-0.01;11;320.82;151.94;0.05;15;0.04;1
T;40;47.8;15;12;11.92;0;12;339.96;86.99;0.03;15;0.05;1
L;40;80;8.3;10;9.95;0.01;0;292.92;39.04;0.04;15;0;1
S;40;21.8;10;11;11.03;-0.01;11;321.23;147.72;0.05;15;0.04;1
T;40;47;15;12;12.11;0;12;335.58;94.91;0.03;15;0.05;1
L;40;74.1;8.3;10;10.01;0.01;0;291.68;40.35;0.04;15;0;1
S;40;19.8;10;11;11.14;0;11;318.23;137.95;0.05;15;0.04;1
T;40;49.2;15;12;12.03;0;12;336.92;96.76;0.03;15;0.05;1
L;40;69.4;8.3;10;10.1;0.01;0;289.3;36.52;0.04;15;0;1
S;40;18.4;10;11;11.08;0;11;318.84;141.63;0.05;15;0.04;1
T;40;50.9;15;12;12;0;12;337.63;99.93;0.03;15;0.05;1
L;40;79.5;8.3;10;10.06;0.01;0;289.85;33.84;0.04;15;0;1
S;40;15.6;10;11;11.11;0;11;317.64;131.13;0.05;15;0.04;1
T;40;49.8;15;12;11.96;0;12;338.71;98.67;0.05;15;0.05;1
L;40;63.8;8.3;10;10.05;0.01;0;289.6;23.25;0.04;15;0;1
S;40;14.8;10;11;11.08;0.01;11;317.91;116.26;0.05;15;0.04;1
T;40;53.7;15;12;11.93;0;12;339.74;98.8;0.05;15;0.05;1
L;40;73.5;8.3;10;10.04;0.01;0;289.62;26.17;0.04;15;0;1
S;40;13.7;10;11;10.95;0.01;11;320.67;106.84;0.05;15;0.04;1
T;40;57.4;15;12;12.01;0;12;338.03;97.5;0.05;15;0.05;1
L;40;80;8.3;10;9.92;0.01;0;292.6;21.54;0.04;15;0;1
S;40;12.1;10;11;10.9;0.01;11;322.29;103.31;0.06;15;0.04;1
T;40;59.2;15;12;12.03;0;12;337.49;105.24;0.05;15;0.06;1
L;40;80;8.3;10;10.28;0.01;0;283.64;16.91;0.04;15;0;1
S;40;11.8;10;11;10.95;0.02;11;321.49;97.3;0.06;15;0.04;1
T;40;63.6;15;12;12.04;0;12;337;103.78;0.05;15;0.06;1
L;40;58.2;8.3;10;10.5;0.05;0;276.15;-126.5;0.04;15;0;1
S;40;11.4;10;11;10.87;0.02;11;323.93;92.55;0.06;15;0.04;1
T;40;69.7;15;12;11.97;0;12;338.53;97.17;0.05;15;0.06;1
L;40;80;8.3;10;10.08;0.01;0;284.25;86.76;0.04;15;0;1
S;40;10.8;10;11;10.75;0.02;11;327.71;86.04;0.06;15;0.04;1
T;40;71.3;15;12;11.93;0;12;339.7;91.77;0.05;15;0.06;1
L;40;80;8.3;10;10.15;0;0;281.99;45.94;0.04;15;0;1
S;40;10.5;10;11;10.94;0.02;11;324.35;88.11;0.06;15;0.04;1
T;40;73.6;15;12;11.99;0;12;338.61;86.85;0.05;15;0.06;1
L;40;80;8.3;10;9.91;0;0;287.33;24.35;0.02;15;0;1
S;40;9.9;10;9.59;10.88;0.02;9.59;289.29;79.93;0.06;15;0.04;1
T;40;75.4;15;12;11.91;0.01;12;340.69;76.93;0.05;15;0.06;1
L;40;80;8.3;10;9.95;0;0;286.79;19.89;0.02;15;0;1
S;40;9.4;10;9;10.63;0.02;9;272.92;88.75;0.06;15;0.04;1
T;40;76.5;15;12;11.87;0;12;342.35;89.28;0.05;15;0.06;1
L;40;80;8.3;10;10.02;0.01;0;285.36;17.07;0.02;15;0;1
S;40;9.1;10;9;10.38;0.01;9;270.07;86.23;0.06;15;0.02;1
T;40;80;15;10;11.93;0;10;289.19;83.92;0.05;15;0.06;1
L;40;57.3;8.3;10;10.11;0.01;0;282.74;3.72;0.02;15;0;1
S;40;8.8;10;9;10.06;0.01;9;270.48;83.37;0.06;15;0.02;1
T;40;79.8;15;10;11.83;0;10;280.57;80.5;0.05;15;0.06;1
L;40;80;8.3;10;10.1;0.01;0;282.32;3.88;0.02;15;0;1
S;40;8.7;10;9;9.75;0.01;9;272.37;84.92;0.06;15;0.02;1
T;40;79.4;15;10;11.4;0.05;10;281.3;-72.9;0.05;15;0.06;1
L;40;80;8.3;10;10.17;0.01;0;280.11;2.94;0.02;15;0;1
S;40;8.5;10;9;9.46;0.01;9;275.58;80.83;0.06;15;0.02;1
T;40;79.5;15;10;10.95;0;10;284.87;145.45;0.05;15;0.06;1
L;40;55.4;8.3;10;10.08;0.01;0;281.49;9.12;0.02;15;0;1
S;40;8.5;10;9;9.23;0.01;9;278.93;84.93;0.06;15;0.02;1
T;40;79;15;10;10.56;0;10;289.43;94.23;0.05;15;0.06;1
L;40;69.4;8.3;10;10.02;0.01;0;282.58;3.79;0.02;15;0;1
S;40;8.3;10;9;9.16;0.01;9;279.39;89.9;0.06;15;0.02;1
T;40;80;15;10;10.25;0;10;294.35;87.46;0.05;15;0.06;1
L;40;52.5;8.3;10;9.98;0.01;0;283.39;9.64;0.02;15;0;1
S;40;8;10;9;9.07;0.01;9;280.7;91.19;0.06;15;0.02;1
T;40;80;15;10;10.14;0;10;295.72;77.06;0.05;15;0.06;1
L;40;75.3;8.3;10;10.25;0;0;276.58;15.16;0.02;15;0;1
S;40;8.2;10;9;9.03;0.01;9;281.34;83.39;0.06;15;0.02;1
T;40;79.1;15;10;10.08;0;10;296.4;84.76;0.05;15;0.06;1
L;40;61.2;8.3;10;10.04;0.01;0;280.68;5.67;0.01;15;0;1
S;40;8.2;10;9;8.91;0;9;284.33;95.16;0.06;15;0.02;1
T;40;79.9;15;10;10.03;0;10;297.37;81.93;0.05;15;0.06;1
L;40;63.3;8.3;10;9.7;0;0;289.1;36.45;0.01;15;0;1
S;40;7.9;10;9;8.89;0;9;285.45;90.68;0.06;15;0.02;1
T;40;80;15;10;10.07;0;10;296.22;86.17;0.05;15;0.06;1
L;40;80;8.3;10;9.89;0;0;285.99;4.59;0.01;15;0;1
S;40;8.2;10;9;8.9;0;9;285.87;100.78;0.06;15;0.01;1
T;40;78.6;15;10;10.13;0;10;294.25;88.84;0.05;15;0.06;1
L;40;65.3;8.3;10;9.7;0;0;291.69;15.56;0.01;15;0;1
S;40;8;10;9;8.85;0;9;287.6;101.95;0.06;15;0.01;1
T;40;78.1;15;10;10.1;0;10;294.17;97.4;0.05;15;0.06;1
L;40;79.3;8.3;10;9.79;0;0;290.92;12.21;0.01;15;0;1
S;40;7.9;10;9;8.82;0;9;289.37;97.37;0.06;15;0.01;1
T;40;78.2;15;10;10.15;0;10;292.33;89.71;0.05;15;0.06;1
L;40;80;8.3;10;9.89;0;0;289.5;16.8;0.01;15;0;1
S;40;8.1;10;9;8.83;0;9;290.01;96.01;0.06;15;0.01;1
T;40;76.8;15;10;10.08;0;10;293.17;85.76;0.05;15;0.06;1
L;40;60.1;8.3;10;9.84;0;0;291.6;31.47;0.01;15;0;1
S;40;8.2;10;9;8.78;0;9;292.34;91.21;0.06;15;0.01;1
T;40;76.4;15;10;10.1;0;10;292.26;88.63;0.05;15;0.06;1
L;40;80;8.3;10;10.02;0;0;287.86;18.65;0.01;15;0;1
S;40;8.3;10;9;8.86;0.01;9;291.53;73.88;0.06;15;0.01;1
T;40;76.2;15;10;10.07;0;10;292.53;85.59;0.05;15;0.06;1
L;40;75.7;8.3;10;9.9;0;0;290.87;13.85;0.01;15;0;1
S;40;8.1;10;9;8.98;0.01;9;289.32;70.29;0.06;15;0.01;1
T;40;74;15;10;9.74;-0.01;10;300.76;112.14;0.05;15;0.06;1
L;41;73.2;8.3;10;9.96;0;0;289.91;14.54;0.01;15;0;1
S;40;8.1;10;9;9.16;0.01;9;284.61;61.21;0.06;15;0.01;1
