Robot;Delta_muestra;Input_d;d_ref;vel_ref;Input_vel;Input_theta;Output_d;Output_vel;Output_theta;;;;
T;40;11.7;10;1;0.8;0;1;95.75;-0.21;0;15;0;1
S;40;10.2;10;0;0;0.01;0;0;0;0;15;0;1
L;40;28;80;0;0;-0.09;0;-2.36;375.85;0;15;0;1
T;40;11.6;10;1;1;0;1;91.83;-2.63;0;15;0;1
S;40;9.9;10;0;0;0.01;0;0;0;0;15;0;1
L;40;42.8;80;0;0;-0.13;0;-2.45;558.44;0;15;0;1
T;40;11.6;10;1;1.39;0;1;81.62;1.71;0;15;0;1
S;40;10;10;0;0;0.01;0;0;0;0;15;0;1
L;40;46.5;80;0;0.01;-0.12;0;-2.78;509.5;0;15;0;1
T;40;11.4;10;1;1.38;0;1;79.5;-6.68;0;15;0;1
S;40;8.8;10;-1;0;0.01;-1;-26.11;-46.4;0;15;0;1
L;40;80;80;0;0.05;-0.13;0;-3.78;587.52;0;15;0;1
T;40;11.3;10;1;1.38;0;1;77.41;-4.71;0;15;0;1
S;40;9.7;10;-1;-0.08;0.02;-1;-29.85;-68.03;0;15;0;1
L;40;80;80;0;0.11;-0.12;0;-5.54;560.47;0;15;0;1
T;40;11.5;10;0;1.13;0;0;55.54;-3.11;0;15;0;1
S;40;10.2;10;0.8;-0.31;0.03;0.8;17.75;-65.73;0;15;0;1
L;40;80;80;0;-0.01;-0.24;0;-3.25;1023;0;15;0;1
T;40;11.4;10;0;0.82;0;0;57.19;-1.5;0;15;0;1
S;40;11.7;10;1;-0.15;0.01;1;25.27;-14.14;0;15;0;1
L;40;80;80;0;0;-0.14;0;-3.33;515.64;0;15;0;1
T;40;11.3;10;0;0.59;0;0;58.31;-7.9;0;15;0;1
S;40;9.4;10;-1;0.12;0.01;-1;-27.35;-35.15;0;15;0;1
L;40;80;80;0;0.48;-0.13;0;-15.97;648.08;0;15;0;1
T;40;11.3;10;2;0.43;0;2;111.32;-0.5;0;15;0;1
L;40;80;80;0;0.14;-0.13;0;-9.9;713.63;0;15;0;1
S;40;8.8;10;-1;0.06;0.03;-1;-32.36;-97.78;0;15;0;1
T;40;11.4;10;2;0.38;0;2;121.87;-6.88;0;15;0;1
L;40;80;80;0;0.12;-0.1;0;-10.01;621.05;0;15;0;1
S;40;9.5;10;-1;0.05;0.03;-1;-38.06;-90.74;0;15;0;1
T;40;11.5;10;0;0.65;0;0;71.9;-3.04;0;15;0;1
S;40;10.5;10;1;-0.12;0.01;1;12.41;-33.98;0;15;0;1
L;40;80;80;0;0.34;-0.14;0;-16.47;812.21;0;15;0;1
T;40;11.3;10;0;0.96;0;0;60.07;0.16;0;15;0;1
S;40;11.1;10;1;-0.18;0.01;1;20.5;-26;0;15;0;1
L;40;80;80;0;0.11;-0.11;0;-12.41;673.2;0;15;0;1
T;40;11.3;10;0;0.98;0;0;53.94;2.23;0;15;0;1
S;40;12;10;1;-0.13;0.01;1;25.94;-40.26;0;15;0;1
L;40;27.7;80;0;0.15;-0.14;0;-14.28;857.71;0;15;0;1
T;40;11.2;10;2;0.84;0;2;104.25;-9.21;0;15;0;1
S;40;10;10;0;-0.09;0.01;0;0;0;0;15;0;1
L;40;80;80;0;0.16;-0.15;0;-15.22;885.49;0;15;0;1
T;40;11.2;10;2;0.72;0;2;114.12;-0.56;0;15;0;1
S;40;7.2;10;-1;-0.02;0.01;-1;-25.69;-22.41;0;15;0;1
L;40;80;80;0;0.19;-0.14;0;-16.99;831.76;0;15;0;1
T;40;11;10;0;0.94;0;0;63.52;-5.13;0;15;0;1
S;40;6.8;10;-1;-0.02;0.02;-1;-31.33;-59;0;15;0;1
L;40;3.6;80;0;0.28;-0.13;0;-20.42;834.64;0;15;0;1
T;40;11;10;0;1.2;0;0;51.36;-6.2;0;15;0;1
S;40;3.9;10;-1;-0.03;0.02;-1;-36.83;-37.27;0;15;0;1
T;40;10.9;10;0;1.12;0;0;46.33;-6.95;0;15;0;1
L;40;3.9;80;0;0.36;-0.17;0;-24.24;1023;0;15;0;1
S;40;6.3;10;-1;-0.02;0.02;-1;-42.61;-57.55;0;15;0;1
L;40;9.1;80;0;0.36;-0.13;0;-26.19;845.01;0;15;0;1
T;40;11.1;10;0;0.85;-0.01;0;46.95;31.57;0;15;0;1
S;40;6.7;10;-1;-0.02;0.02;-1;-48.42;-66.81;0;15;0;1
L;40;18.7;80;0;0.32;-0.18;0;-27.37;1023;0;15;0;1
T;40;10.9;10;0;0.12;0;0;61.09;-17.98;0;15;0;1
S;40;9.4;10;-1;-0.03;0.02;-1;-53.8;-47.69;0;15;0;1
L;40;19.8;80;0;0.27;-0.19;0;-27.81;1023;0;15;0;1
