Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
R,40,17.30,15.00,13.20,11.24,1,0.00,0.00,0.00,0.00,9.72,0.00,1
L,40,15.50,19.20,10.00,9.70,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,17.20,15.00,13.07,11.62,1,0.00,0.00,0.00,0.00,9.72,0.00,1
L,40,15.70,19.20,10.00,9.79,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,17.00,15.00,12.51,12.02,1,0.00,0.00,0.00,0.00,9.72,0.00,1
L,40,10.30,19.20,10.00,9.88,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,16.60,15.00,11.10,12.32,1,0.00,0.00,0.00,0.00,9.90,0.00,1
L,40,15.50,19.20,10.00,9.99,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,17.00,15.00,12.94,12.30,1,0.00,0.00,0.00,0.00,9.90,0.00,1
L,40,17.80,19.20,10.00,9.92,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,16.50,15.00,11.12,12.08,1,0.00,0.00,0.00,0.00,10.00,0.00,1
L,40,14.90,19.20,10.00,10.54,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,16.40,15.00,10.89,11.11,1,0.00,0.00,0.00,0.00,10.00,0.00,1
L,40,16.60,19.20,10.00,10.47,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,16.40,15.00,11.06,11.51,1,0.00,0.00,0.00,0.00,10.00,0.00,1
L,40,11.20,19.20,10.00,9.64,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,16.50,15.00,11.64,11.67,1,0.00,0.00,0.00,0.00,9.91,0.00,1
L,40,15.20,19.20,10.00,9.73,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,16.30,15.00,10.99,11.90,1,0.00,0.00,0.00,0.00,9.91,0.00,1
L,40,14.70,19.20,10.00,9.74,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,16.50,15.00,11.97,11.56,1,0.00,0.00,0.00,0.00,9.80,0.00,1
L,40,11.40,19.20,10.00,9.87,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,16.70,15.00,12.98,11.51,1,0.00,0.00,0.00,0.00,9.80,0.00,1
L,40,15.80,19.20,10.00,9.93,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,16.00,15.00,10.30,11.49,1,0.00,0.00,0.00,0.00,9.80,0.00,1
L,40,14.00,19.20,10.00,9.97,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,16.10,15.00,10.83,11.63,1,0.00,0.00,0.00,0.00,10.02,0.00,1
L,40,14.40,19.20,10.00,10.04,1,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.40,19.20,10.00,10.04,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,16.20,15.00,11.37,11.46,1,0.00,0.00,0.00,0.00,10.02,0.00,1
L,40,8.60,19.20,10.00,9.71,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,16.00,15.00,10.69,11.29,1,0.00,0.00,0.00,0.00,9.89,0.00,1
L,40,14.40,19.20,10.00,10.50,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,16.00,15.00,10.81,11.31,1,0.00,0.00,0.00,0.00,9.89,0.00,1
L,40,17.00,19.20,10.00,9.69,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,16.00,15.00,10.93,10.85,1,0.00,0.00,0.00,0.00,9.89,0.00,1
L,40,13.50,19.20,10.00,9.76,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.80,15.00,10.23,11.29,1,0.00,0.00,0.00,0.00,9.90,0.00,1
L,40,13.30,19.20,10.00,9.97,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.90,15.00,10.74,11.24,1,0.00,0.00,0.00,0.00,9.90,0.00,1
L,40,11.50,19.20,10.00,9.98,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.90,15.00,10.84,10.72,1,0.00,0.00,0.00,0.00,9.93,0.00,1
L,40,10.60,19.20,10.00,9.88,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.80,15.00,10.54,10.47,1,0.00,0.00,0.00,0.00,9.93,0.00,1
L,40,12.50,19.20,10.00,9.88,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,16.00,15.00,11.46,10.52,1,0.00,0.00,0.00,0.00,9.93,0.00,1
L,40,9.60,19.20,10.00,9.83,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.70,15.00,10.34,10.71,1,0.00,0.00,0.00,0.00,9.92,0.00,1
L,40,14.20,19.20,10.00,9.89,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.90,15.00,11.25,10.86,1,0.00,0.00,0.00,0.00,9.92,0.00,1
L,40,15.50,19.20,10.00,9.94,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.70,15.00,10.54,11.09,1,0.00,0.00,0.00,0.00,9.94,0.00,1
L,40,13.40,19.20,10.00,10.04,1,0.00,0.00,0.00,0.00,15.00,0.00,1
