Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,40,63.00,61.50,10.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.30,11.50,-0.97,0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,60.90,61.50,10.00,0.75,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.50,11.50,0.00,0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.90,61.50,10.00,2.40,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.50,11.50,0.00,0.00,1,0.00,0.00,0.00,0.00,3.28,0.00,1
L,40,60.90,61.50,10.00,4.25,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,12.00,11.50,2.06,0.00,1,0.00,0.00,0.00,0.00,3.28,0.00,1
L,40,62.30,61.50,10.00,5.89,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,12.60,11.50,4.59,0.00,1,0.00,0.00,0.00,0.00,7.14,0.00,1
L,40,61.50,61.50,10.00,8.97,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,12.70,11.50,5.14,0.00,1,0.00,0.00,0.00,0.00,7.14,0.00,1
L,40,60.70,61.50,10.00,7.74,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.20,11.50,7.34,0.32,1,0.00,0.00,0.00,0.00,7.14,0.00,1
L,40,59.90,61.50,10.00,8.14,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.50,11.50,8.78,1.12,1,0.00,0.00,0.00,0.00,7.93,0.00,1
L,40,58.60,61.50,10.00,8.29,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.60,11.50,9.43,2.45,1,0.00,0.00,0.00,0.00,7.93,0.00,1
L,40,60.50,61.50,10.00,8.47,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.10,11.50,11.74,4.11,1,0.00,0.00,0.00,0.00,8.45,0.00,1
L,40,61.10,61.50,10.00,8.67,1,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,58.90,61.50,10.00,8.84,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.80,11.50,10.82,5.62,1,0.00,0.00,0.00,0.00,8.45,0.00,1
S,40,14.00,11.50,11.92,7.28,1,0.00,0.00,0.00,0.00,8.45,0.00,1
L,40,58.40,61.50,10.00,8.98,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.00,11.50,12.22,8.44,1,0.00,0.00,0.00,0.00,8.93,0.00,1
L,40,59.30,61.50,10.00,9.16,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.90,11.50,12.11,9.37,1,0.00,0.00,0.00,0.00,8.93,0.00,1
L,40,59.20,61.50,10.00,9.30,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.70,11.50,11.57,10.09,1,0.00,0.00,0.00,0.00,9.34,0.00,1
L,40,58.50,61.50,10.00,9.37,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.60,11.50,11.42,10.50,1,0.00,0.00,0.00,0.00,9.34,0.00,1
L,40,58.90,61.50,10.00,9.56,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.40,11.50,10.85,10.70,1,0.00,0.00,0.00,0.00,9.34,0.00,1
L,41,57.50,61.50,10.00,9.66,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.30,11.50,10.67,10.64,1,0.00,0.00,0.00,0.00,9.66,0.00,1
L,40,57.60,61.50,10.00,9.86,1,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,57.70,61.50,10.00,9.70,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.60,11.50,12.12,10.50,1,0.00,0.00,0.00,0.00,9.66,0.00,1
S,41,13.50,11.50,11.97,10.19,1,0.00,0.00,0.00,0.00,9.76,0.00,1
L,40,56.70,61.50,10.00,9.47,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.70,11.50,13.03,11.07,1,0.00,0.00,0.00,0.00,9.76,0.00,1
L,40,56.60,61.50,10.00,9.93,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.60,11.50,12.88,11.36,1,0.00,0.00,0.00,0.00,9.76,0.00,1
L,40,56.80,61.50,10.00,10.18,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.20,11.50,11.49,11.67,1,0.00,0.00,0.00,0.00,9.85,0.00,1
