Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,41,52.40,58.70,20.00,19.66,0.01,0.00,580.62,-125.40,0.04,15.00,0.00,0
S,40,17.60,13.90,0.00,13.78,0.00,27.69,77.85,-16.08,0.00,0.00,0.04,0
L,40,53.30,58.70,20.00,19.86,0.01,0.00,577.35,-116.54,0.04,15.00,0.00,0
S,42,18.10,13.90,0.00,5.39,-0.01,30.00,215.28,35.32,0.00,0.00,0.04,0
L,42,51.10,58.70,20.00,20.00,0.00,0.00,574.36,-110.12,0.04,15.00,0.00,0
S,42,20.20,13.90,0.00,4.48,-0.01,30.00,206.60,18.06,0.00,0.00,0.04,0
L,40,52.50,58.70,20.00,19.04,0.00,0.00,599.43,-107.04,0.04,15.00,0.00,0
S,42,21.60,13.90,0.00,5.73,-0.01,30.00,146.22,23.78,0.00,0.00,0.04,0
L,41,52.20,58.70,20.00,19.66,-0.00,0.00,588.99,-98.57,0.04,15.00,0.00,0
S,42,25.00,13.90,0.00,5.30,-0.01,30.00,122.51,17.09,0.00,0.00,0.04,0
L,42,56.70,58.70,20.00,20.79,-0.00,0.00,561.20,-103.43,0.04,15.00,0.00,0
S,41,27.90,13.90,0.00,4.13,-0.01,30.00,121.59,22.93,0.00,0.00,0.04,0
L,40,59.30,58.70,20.00,19.21,-0.00,0.00,597.82,-108.68,0.04,15.00,0.00,0
S,40,32.10,13.90,0.00,3.27,-0.00,30.00,120.06,19.94,0.00,0.00,0.04,0
L,41,59.50,58.70,20.00,20.47,0.00,0.00,569.34,-114.87,0.04,15.00,0.00,0
S,42,39.40,13.90,0.00,2.84,-0.00,30.00,111.64,19.61,0.00,0.00,0.04,0
L,40,59.70,58.70,20.00,19.73,0.00,0.00,586.09,-110.81,0.04,15.00,0.00,0
S,42,43.60,13.90,0.00,2.69,-0.00,30.00,98.16,19.23,0.00,0.00,0.04,0
L,42,64.70,58.70,20.00,20.61,0.00,0.00,564.52,-122.87,0.04,15.00,0.00,0
S,42,48.00,13.90,0.00,2.48,-0.00,30.00,87.32,14.63,0.00,0.00,0.04,0
L,41,68.10,58.70,20.00,19.67,0.01,0.00,585.55,-123.68,0.04,15.00,0.00,0
S,42,53.20,13.90,0.00,2.05,-0.00,30.00,83.60,19.70,0.00,0.00,0.04,0
L,40,72.80,58.70,20.00,19.84,0.01,0.00,583.09,-130.36,0.04,15.00,0.00,0
S,42,56.50,13.90,0.00,1.74,-0.00,30.00,79.33,17.53,0.00,0.00,0.04,0
L,42,77.00,58.70,20.00,19.68,0.01,0.00,588.30,-140.43,0.04,15.00,0.00,0
S,42,58.40,13.90,0.00,1.66,-0.00,30.00,70.68,14.61,0.00,0.00,0.04,0
L,42,76.30,58.70,20.00,20.28,0.01,0.00,574.32,-127.66,0.04,15.00,0.00,0
S,42,57.80,13.90,0.00,1.44,0.00,30.00,66.34,12.60,0.00,0.00,0.04,0
L,42,77.90,58.70,20.00,19.56,0.00,0.00,591.64,-121.86,0.04,15.00,0.00,0
S,40,59.20,13.90,0.00,1.21,0.00,30.00,64.05,14.36,0.00,0.00,0.04,0
L,42,77.40,58.70,20.00,20.43,0.00,0.00,571.37,-122.37,0.04,15.00,0.00,0
S,42,57.40,13.90,0.00,0.69,0.00,30.00,70.42,13.98,0.00,0.00,0.04,0
L,42,74.30,58.70,20.00,19.70,0.00,0.00,587.94,-119.03,0.04,15.00,0.00,0
S,42,57.30,13.90,0.00,0.70,0.00,30.00,65.82,12.57,0.00,0.00,0.04,0
L,41,74.50,58.70,20.00,19.83,-0.00,0.00,586.30,-113.77,0.04,15.00,0.00,0
S,41,57.60,13.90,0.00,0.86,0.00,30.00,57.49,13.12,0.00,0.00,0.04,0
L,40,72.80,58.70,20.00,19.66,-0.00,0.00,591.78,-108.19,0.04,15.00,0.00,0
S,40,58.40,13.90,0.00,0.55,0.00,30.00,60.50,10.69,0.00,0.00,0.04,0
L,41,71.00,58.70,20.00,20.55,-0.01,0.00,570.47,-100.14,0.04,15.00,0.00,0
S,40,58.50,13.90,0.00,0.23,0.00,30.00,65.85,11.41,0.00,0.00,0.04,0
L,40,69.50,58.70,20.00,20.24,-0.01,0.00,575.46,-103.45,0.04,15.00,0.00,0
S,41,57.20,13.90,0.00,0.46,0.00,30.00,58.35,14.45,0.00,0.00,0.04,0
L,42,68.40,58.70,20.00,20.28,-0.00,0.00,572.72,-108.14,0.04,15.00,0.00,0
S,40,56.70,13.90,0.00,0.12,0.00,30.00,64.61,9.56,0.00,0.00,0.04,0
L,41,65.40,58.70,20.00,19.98,-0.00,0.00,579.14,-102.92,0.04,15.00,0.00,0
S,42,57.20,13.90,0.00,0.17,0.00,30.00,62.55,7.62,0.00,0.00,0.04,0
L,40,65.00,58.70,20.00,20.26,-0.00,0.00,571.92,-119.48,0.04,15.00,0.00,0
S,41,57.70,13.90,0.00,0.01,0.00,30.00,65.74,11.64,0.00,0.00,0.04,0
L,41,61.70,58.70,20.00,19.10,0.00,0.00,600.66,-117.03,0.04,15.00,0.00,0
S,40,57.70,13.90,0.00,0.00,0.00,30.00,65.91,11.16,0.00,0.00,0.04,0
L,42,59.40,58.70,20.00,20.39,0.00,0.00,572.06,-118.01,0.04,15.00,0.00,0
S,41,58.60,13.90,0.00,0.00,0.00,30.00,65.92,7.83,0.00,0.00,0.04,0
L,42,59.00,58.70,20.00,20.59,0.00,0.00,564.44,-126.43,0.04,15.00,0.00,0
S,40,56.80,13.90,0.00,0.00,0.00,30.00,65.92,13.36,0.00,0.00,0.04,0
L,40,57.20,58.70,20.00,19.96,0.00,0.00,577.42,-126.13,0.04,15.00,0.00,0
S,42,58.60,13.90,0.00,0.00,0.00,30.00,65.92,-0.11,0.00,0.00,0.04,0
L,41,56.00,58.70,20.00,20.03,0.00,0.00,575.83,-118.97,0.04,15.00,0.00,0
S,42,57.60,13.90,0.00,0.00,0.00,30.00,65.92,11.36,0.00,0.00,0.04,0
L,42,54.50,58.70,20.00,20.13,0.00,0.00,573.01,-115.94,0.04,15.00,0.00,0
S,41,58.90,13.90,0.00,0.00,0.00,30.00,65.92,7.19,0.00,0.00,0.04,0
L,40,53.00,58.70,20.00,19.15,0.00,0.00,597.87,-118.95,0.04,15.00,0.00,0
S,42,57.50,13.90,0.00,0.00,0.00,30.00,65.92,7.96,0.00,0.00,0.04,0
L,41,53.10,58.70,20.00,20.27,0.00,0.00,573.64,-118.53,0.04,15.00,0.00,0
S,42,57.40,13.90,0.00,0.00,0.00,30.00,65.92,7.82,0.00,0.00,0.04,0
L,40,52.40,58.70,20.00,20.33,-0.00,0.00,570.35,-111.62,0.04,15.00,0.00,0
S,41,58.20,13.90,0.00,0.00,0.00,30.00,65.92,7.56,0.00,0.00,0.04,0
L,41,52.70,58.70,20.00,20.34,0.00,0.00,568.23,-122.22,0.04,15.00,0.00,0
S,40,59.40,13.90,0.00,0.00,0.00,30.00,65.92,5.25,0.00,0.00,0.04,0
L,41,52.50,58.70,20.00,20.11,0.00,0.00,572.08,-122.70,0.03,15.00,0.00,0
S,41,59.40,13.90,0.00,0.00,0.00,30.00,65.92,7.88,0.00,0.00,0.04,0
