Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
S,40,59.40,15.00,10.00,9.96,0,0.03,0.05,0.07,0.03,10.00,0.08,0
L,40,80.00,80.00,10.00,9.91,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,80.00,15.00,10.02,9.97,0,0.08,0.08,0.08,0.08,10.02,0.00,0
S,40,51.90,15.00,9.98,9.92,0,0.03,0.05,0.07,0.03,9.98,0.08,0
L,40,80.00,80.00,10.00,9.80,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,80.00,15.00,10.02,9.89,0,0.08,0.08,0.08,0.08,10.02,0.00,0
S,40,49.80,15.00,9.98,9.87,0,0.03,0.05,0.07,0.03,9.98,0.08,0
L,40,80.00,80.00,10.00,9.83,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,80.00,15.00,9.75,9.79,0,0.08,0.08,0.08,0.08,9.75,0.00,0
S,40,49.60,15.00,9.83,9.84,0,0.03,0.05,0.07,0.03,9.83,0.08,0
L,40,80.00,80.00,10.00,10.30,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,80.00,15.00,9.75,9.87,0,0.08,0.08,0.08,0.08,9.75,0.00,0
S,40,48.30,15.00,9.83,9.80,0,0.03,0.05,0.07,0.03,9.83,0.08,0
L,40,80.00,80.00,10.00,9.86,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.20,15.00,9.75,9.78,0,0.08,0.08,0.08,0.08,9.86,0.00,0
S,40,47.60,15.00,9.83,9.90,0,0.03,0.05,0.07,0.03,9.83,0.08,0
L,40,80.00,80.00,10.00,9.89,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.40,15.00,9.75,9.70,0,0.08,0.08,0.08,0.08,9.86,0.00,0
S,40,49.90,15.00,9.70,9.84,0,0.03,0.05,0.07,0.03,9.70,0.08,0
L,40,80.00,80.00,10.00,10.06,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.00,15.00,9.75,9.26,0,0.08,0.08,0.08,0.08,9.86,0.00,0
S,40,43.60,15.00,9.70,9.91,0,0.03,0.05,0.07,0.03,9.70,0.08,0
L,40,80.00,80.00,10.00,9.98,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.60,15.00,10.15,9.64,0,0.08,0.08,0.08,0.08,10.15,0.00,0
S,41,38.70,15.00,9.66,9.12,0,0.07,0.05,0.07,0.05,9.66,0.08,0
L,40,80.00,80.00,10.00,10.06,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.70,15.00,10.15,10.04,0,0.08,0.08,0.08,0.08,10.15,0.00,0
S,40,47.80,15.00,9.66,9.87,0,0.07,0.05,0.07,0.05,9.66,0.08,0
L,40,80.00,80.00,10.00,9.99,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.10,15.00,9.95,10.01,0,0.08,0.08,0.08,0.08,9.95,0.00,0
S,40,37.70,15.00,9.66,9.62,0,0.07,0.05,0.07,0.05,9.66,0.08,0
L,40,80.00,80.00,10.00,10.03,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.00,15.00,9.95,9.86,0,0.08,0.08,0.08,0.08,9.95,0.00,0
S,40,39.70,15.00,10.01,10.07,0,0.07,0.05,0.07,0.05,10.01,0.08,0
L,40,80.00,80.00,10.00,10.07,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.10,15.00,9.95,9.92,0,0.08,0.08,0.08,0.08,9.95,0.00,0
S,40,38.80,15.00,10.01,9.92,0,0.07,0.05,0.07,0.05,10.01,0.08,0
L,40,80.00,80.00,10.00,10.07,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.10,15.00,10.08,9.93,0,0.08,0.08,0.08,0.08,10.08,0.00,0
S,40,37.50,15.00,9.96,10.24,0,0.07,0.05,0.07,0.05,9.96,0.08,0
L,40,80.00,80.00,10.00,10.13,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.00,15.00,10.08,9.98,0,0.08,0.08,0.08,0.08,10.08,0.00,0
S,40,30.60,15.00,9.96,10.04,0,0.07,0.05,0.07,0.05,9.96,0.08,0
L,40,80.00,80.00,10.00,9.98,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.10,15.00,9.83,10.01,0,0.08,0.08,0.08,0.08,9.83,0.00,0
S,40,37.60,15.00,9.96,9.97,0,0.07,0.05,0.07,0.05,9.96,0.08,0
L,40,80.00,80.00,10.00,9.70,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.40,15.00,9.83,10.13,0,0.08,0.08,0.08,0.08,9.83,0.00,0
S,40,39.70,15.00,9.98,10.08,0,0.07,0.08,0.07,0.07,9.98,0.08,0
L,40,80.00,80.00,10.00,10.05,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.20,15.00,9.83,9.98,0,0.08,0.08,0.08,0.08,9.83,0.00,0
L,40,80.00,80.00,10.00,9.98,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,63.30,15.00,9.98,10.16,0,0.07,0.08,0.07,0.07,9.98,0.08,0
R,40,13.20,15.00,10.04,9.82,0,0.08,0.08,0.08,0.08,10.04,0.00,0
S,40,80.00,15.00,9.73,10.24,0,0.07,0.08,0.07,0.07,9.73,0.08,0
L,40,80.00,80.00,10.00,10.19,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.40,15.00,10.04,9.66,0,0.08,0.08,0.08,0.08,10.04,0.00,0
S,40,80.00,15.00,9.73,10.13,0,0.07,0.08,0.07,0.07,9.73,0.08,0
L,40,80.00,80.00,10.00,10.24,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.00,15.00,9.87,9.67,0,0.08,0.08,0.08,0.08,9.87,0.00,0
S,40,80.00,15.00,9.73,10.09,0,0.07,0.08,0.07,0.07,9.73,0.08,0
L,40,80.00,80.00,10.00,9.96,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.40,15.00,9.87,9.66,0,0.08,0.05,0.08,0.05,9.87,0.00,0
S,40,80.00,15.00,9.66,9.90,0,0.07,0.08,0.07,0.07,9.66,0.05,0
L,40,80.00,80.00,10.00,9.94,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.00,15.00,9.79,9.62,0,0.08,0.05,0.08,0.05,9.79,0.00,0
S,40,80.00,15.00,9.66,9.75,0,0.07,0.08,0.07,0.07,9.66,0.05,0
L,40,80.00,80.00,10.00,9.98,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.10,15.00,9.79,9.61,0,0.08,0.05,0.08,0.05,9.79,0.00,0
S,40,80.00,15.00,9.63,9.57,0,0.07,0.08,0.07,0.07,9.63,0.05,0
L,40,80.00,80.00,10.00,10.03,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.10,15.00,9.79,9.68,0,0.08,0.05,0.08,0.05,9.79,0.00,0
S,40,80.00,15.00,9.63,8.84,0,0.07,0.08,0.08,0.07,9.63,0.05,0
L,40,80.00,80.00,10.00,10.07,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.30,15.00,10.32,9.66,0,0.08,0.05,0.08,0.05,10.32,0.00,0
S,40,80.00,15.00,9.74,9.26,0,0.07,0.08,0.08,0.07,9.74,0.05,0
L,40,80.00,80.00,10.00,10.10,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.20,15.00,10.32,9.21,0,0.08,0.05,0.08,0.05,10.32,0.00,0
S,40,80.00,15.00,9.74,9.16,0,0.07,0.08,0.08,0.07,9.74,0.05,0
L,40,80.00,80.00,10.00,10.08,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.30,15.00,10.09,10.00,0,0.08,0.05,0.08,0.05,10.09,0.00,0
S,40,80.00,15.00,9.74,9.67,0,0.07,0.08,0.08,0.07,9.74,0.05,0
L,40,80.00,80.00,10.00,10.11,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.30,15.00,10.09,10.18,0,0.08,0.05,0.08,0.05,10.09,0.00,0
S,40,80.00,15.00,10.11,9.74,0,0.07,0.08,0.08,0.07,10.11,0.05,0
L,40,80.00,80.00,10.00,10.14,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.10,15.00,10.09,10.12,0,0.08,0.05,0.03,0.03,10.09,0.00,0
S,40,80.00,15.00,10.11,10.01,0,0.07,0.08,0.08,0.07,10.11,0.05,0
L,40,80.00,80.00,10.00,10.04,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.40,15.00,10.12,9.97,0,0.08,0.05,0.03,0.03,10.12,0.00,0
S,40,80.00,15.00,10.11,9.88,0,0.07,0.08,0.08,0.07,10.11,0.03,0
L,40,80.00,80.00,10.00,9.72,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.40,15.00,10.12,10.08,0,0.08,0.05,0.03,0.03,10.12,0.00,0
S,40,80.00,15.00,10.11,10.04,0,0.07,0.08,0.08,0.07,10.11,0.03,0
