Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,40,63.00,59.10,20.00,12.57,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,16.40,14.30,8.81,0.37,1,0.00,0.00,0.00,0.00,10.95,0.00,1
L,40,63.10,59.10,20.00,14.39,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,17.00,14.30,11.53,1.34,1,0.00,0.00,0.00,0.00,10.95,0.00,1
L,40,62.10,59.10,20.00,15.47,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,17.80,14.30,15.15,6.78,1,0.00,0.00,0.00,0.00,15.62,0.00,1
L,40,59.90,59.10,20.00,16.23,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,18.10,14.30,16.81,8.09,1,0.00,0.00,0.00,0.00,15.62,0.00,1
L,40,61.40,59.10,20.00,17.15,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,18.40,14.30,18.50,9.34,1,0.00,0.00,0.00,0.00,15.62,0.00,1
L,40,59.20,59.10,20.00,17.67,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,19.00,14.30,21.46,10.92,1,0.00,0.00,0.00,0.00,17.57,0.00,1
L,40,59.30,59.10,20.00,18.04,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,18.90,14.30,21.62,12.09,1,0.00,0.00,0.00,0.00,17.57,0.00,1
L,40,58.10,59.10,20.00,18.34,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,19.40,14.30,24.23,14.60,1,0.00,0.00,0.00,0.00,18.45,0.00,1
L,40,58.30,59.10,20.00,18.59,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,18.70,14.30,21.96,16.33,1,0.00,0.00,0.00,0.00,18.45,0.00,1
L,40,57.60,59.10,20.00,18.70,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,18.90,14.30,23.31,18.21,1,0.00,0.00,0.00,0.00,18.45,0.00,1
L,40,57.50,59.10,20.00,18.90,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,18.70,14.30,23.04,19.25,1,0.00,0.00,0.00,0.00,18.99,0.00,1
L,40,57.30,59.10,20.00,19.11,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,18.40,14.30,22.33,20.09,1,0.00,0.00,0.00,0.00,18.99,0.00,1
L,40,56.60,59.10,20.00,19.21,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,18.90,14.30,24.88,20.65,1,0.00,0.00,0.00,0.00,19.38,0.00,1
L,40,55.30,59.10,20.00,19.18,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,18.70,14.30,24.61,21.15,1,0.00,0.00,0.00,0.00,19.38,0.00,1
L,40,55.10,59.10,20.00,19.33,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,18.50,14.30,24.31,21.82,1,0.00,0.00,0.00,0.00,19.38,0.00,1
L,40,54.90,59.10,20.00,20.56,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,18.20,14.30,23.58,22.31,1,0.00,0.00,0.00,0.00,19.38,0.00,1
L,40,54.00,59.10,20.00,19.18,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,18.20,14.30,24.05,22.68,1,0.00,0.00,0.00,0.00,19.38,0.00,1
L,40,54.10,59.10,20.00,19.37,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,17.80,14.30,22.87,22.80,1,0.00,0.00,0.00,0.00,19.37,0.00,1
L,40,52.50,59.10,20.00,19.56,1,0.00,0.00,0.00,0.00,15.00,0.00,1
