Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
S,40,10.10,10.00,15.52,15.54,0.00,15.52,503.77,7.89,0.00,15.02,0.00,1
L,40,28.20,49.00,15.00,14.99,-0.00,0.00,474.74,3.37,0.00,15.00,0.00,1
R,40,10.10,10.00,15.62,15.49,-0.00,15.62,543.25,12.12,0.00,15.06,0.00,1
T,40,10.00,10.00,15.53,15.89,-0.02,15.53,518.94,52.78,0.00,15.69,0.00,1
O,40,10.00,10.00,15.94,15.11,-0.00,15.94,527.48,-0.30,0.00,16.67,0.00,1
S,40,10.10,10.00,15.54,15.36,0.00,15.54,508.78,3.69,0.00,15.43,0.00,1
L,40,27.10,49.00,15.00,14.96,-0.00,0.00,475.46,1.01,0.00,15.00,0.00,1
T,40,9.80,10.00,14.71,15.98,0.03,14.71,492.89,-99.94,0.00,15.69,0.00,1
R,40,10.10,10.00,15.64,15.51,-0.00,15.64,543.78,8.00,0.00,15.06,0.00,1
O,40,10.00,10.00,15.94,15.17,-0.00,15.94,530.71,-1.66,0.00,16.67,0.00,1
S,40,9.90,10.00,14.72,15.23,0.00,14.72,491.87,-2.23,0.00,15.43,0.00,1
L,40,30.00,49.00,15.00,15.00,-0.00,0.00,474.60,12.14,0.00,15.00,0.00,1
R,40,10.10,10.00,15.65,15.49,-0.00,15.65,545.29,11.17,0.00,15.00,0.00,1
T,40,10.10,10.00,15.92,15.94,0.03,15.92,518.37,-39.37,0.00,15.22,0.00,1
O,40,10.00,10.00,15.94,15.53,-0.00,15.94,525.83,3.38,0.00,16.67,0.00,1
S,40,10.10,10.00,15.54,15.24,0.00,15.54,509.98,5.86,0.00,15.43,0.00,1
L,40,27.70,49.00,15.00,15.15,-0.00,0.00,470.87,6.83,0.00,15.00,0.00,1
R,40,10.10,10.00,15.66,15.51,0.00,15.66,546.00,-0.20,0.00,15.00,0.00,1
T,40,10.00,10.00,15.52,15.91,0.02,15.52,508.40,-22.88,0.00,15.22,0.00,1
O,40,10.20,10.00,16.76,15.73,-0.00,16.76,544.56,9.37,0.00,15.36,0.00,1
S,40,10.30,10.00,16.37,15.24,-0.00,16.37,533.65,23.44,0.00,15.34,0.00,1
L,41,28.90,49.00,15.00,15.10,-0.00,0.00,471.30,7.14,0.00,15.00,0.00,1
T,40,9.70,10.00,14.29,15.54,-0.02,14.29,483.51,127.27,0.00,15.12,0.00,1
R,40,10.30,10.00,16.50,16.24,-0.00,16.50,549.70,14.98,0.00,15.10,0.00,1
O,40,9.90,10.00,15.55,15.99,-0.00,15.55,512.03,3.79,0.00,15.36,0.00,1
S,40,10.30,10.00,16.41,15.28,0.00,16.41,540.08,-12.75,0.00,15.34,0.00,1
L,40,31.10,49.00,15.00,15.03,-0.00,0.00,472.41,1.21,0.00,15.00,0.00,1
T,40,9.90,10.00,15.07,15.54,0.02,15.07,496.98,-78.20,0.00,15.12,0.00,1
R,40,9.90,10.00,14.88,16.44,-0.00,14.88,503.94,9.04,0.00,15.10,0.00,1
